id,datetime,created_at,screen_extracted_id,project,sector,state,announced,promised_capital_usd,promised_jobs,promised_first_output,actual_first_output,current_status,lag_years,slip_years,verification_tier,notes,promise_source,status_source,flag,promised_date_source,announced_dt,promised_first_output_dt,actual_first_output_dt,announced_raw,promised_first_output_raw,actual_first_output_raw,actual_date_source,country,criteria_id
1,2026-09-13T19:45:56Z,2026-09-13T19:42:06Z,1,Micron Boise Idaho Memory Fab,Semiconductors,ID,2022-09,15000000000,2000,n/a,pending,"UNDER CONSTRUCTION; first fab scheduled to come online 2027, not yet producing",-1.0,-1.0,V1,"Initial announcement was $15B through the end of the decade (Sep 1 2022); later scaled into a ~$50B two-fab Boise buildout per CNBC Aug 20 2026 - later figures are re-announcements/expansions, not summed. Announcement also cited 'over 17,000 new American jobs' total; 2,000 is the direct-Micron figure.",https://www.globenewswire.com/news-release/2022/09/01/2508617/0/en/Micron-to-Invest-15-Billion-in-New-Idaho-Fab-Bringing-Leading-Edge-Memory-Manufacturing-to-the-US.html,https://www.cnbc.com/2026/08/20/micron-boise-chip-fab-expansion.html,Resolved: human-verified and promoted from screen_extracted #1. Prior extraction flag: The Sept 1 2022 announcement (promise_source) states no production-start date; the 2027 first-output target is from the ,,2022-09-15,,,"BOISE, Idaho, Sept. 01, 2022 (GLOBE NEWSWIRE)",The first of Micron's two new Boise fabs is scheduled to come online in 2027.,The first of Micron's two new Boise fabs is scheduled to come online in 2027.,,US,1B-or-2000-jobs
2,2026-09-13T20:24:14Z,2026-09-13T20:24:14Z,2,Ford BlueOval City,Auto Assembly,TN,2021-09,5600000000,6000,2025,pending,"NOT IN PRODUCTION; delayed, EV plans dropped, gas-powered trucks now targeted for 2029",-1.0,-1.0,V1,"An all-new $5.6 billion mega campus in Stanton, Tenn.; the $11.4B / ~11,000-jobs headline was the combined Tennessee + Kentucky announcement (Kentucky BlueOval SK Battery Park is a separate project). Original production target 2025. Ford-SK On JV (BlueOval SK) dissolved Dec 2025; Ford said it will no longer manufacture EVs at BlueOval City and will produce gas-powered Built Ford Tough trucks at the renamed Tennessee Truck Plant starting 2029; SK On Tennessee took full ownership of the battery plant (production targeted 2028).",https://media.ford.com/content/fordmedia/fna/us/en/news/2021/09/27/ford-to-lead-americas-shift-to-electric-vehicles.html,https://tennesseelookout.com/2026/07/23/what-to-know-about-fords-blueoval-city-plant-5-years-later/,Resolved: human-verified and promoted from screen_extracted #2. Prior extraction flag: promise_source now 301-redirects to a generic Ford landing page; read via https://web.archive.org/web/2021id_/https://me,,2021-09-15,2025-07-01,,"DEARBORN, Mich., Sept. 27, 2021 – Ford Motor Company is announcing plans to bring electric vehicles at scale to American customers",production of the new electric vehicles and advanced lithium-ion batteries will begin in 2025,"Nearly five years after Ford Motor Company announced a massive electric vehicle and battery manufacturing campus poised to change the economic landscape of rural West Tennessee, the plant has yet to start production.",,US,1B-or-2000-jobs
3,2026-09-13T20:28:09Z,2026-09-13T20:28:09Z,3,Steel Dynamics Sinton Flat Roll Steel Mill,Steel,TX,2019-07,1900000000,600,2021 (mid),2022,OPERATING; ~2.2M tonnes produced 2024 vs ~2.7M-tonne nominal capacity,3.0,1.0,V1,"Site selected/announced Jul 22, 2019 at ~$1.9B and ~600 direct jobs. Commencement of operations promised mid-2021 but startup slipped to 2022. Two EAFs, ~2,722k tpa nominal crude steel capacity; 2024 output ~2,204k tonnes (2,640k in 2023, 2,504k in 2022). GEM lists ~700 current workers.",https://www.prnewswire.com/news-releases/steel-dynamics-announces-planned-new-flat-roll-steel-mill-site-selection-300888920.html,https://www.gem.wiki/Steel_Dynamics_Sinton_plant,Resolved: human-verified and promoted from screen_extracted #3,,2019-07-15,2021-07-01,2022-07-01,"FORT WAYNE, Ind., July 22, 2019 /PRNewswire/ -- Steel Dynamics, Inc. (NASDAQ: STLD) ... announces planned new flat roll steel mill site selection","the company expects to begin construction early 2020, followed by the commencement of operations mid-2021",Start date: 2022,,US,1B-or-2000-jobs
4,2026-09-13T20:35:54Z,2026-09-13T20:35:54Z,4,Qcells Cartersville Solar Factory,Solar,GA,2023-01,2500000000,2000,2024,2024-04,"PRODUCING; module assembly at full capacity, solar-cell production started, ramping to full vertical integration by Q3 2026",1.2,-0.2,V1,"Vertically integrated Cartersville facility (ingots, wafers, cells, modules). The $2.5B is the combined January 2023 Georgia expansion figure (new Cartersville plant plus Dalton expansion); Qcells later cited over $3B total US investment (re-announcement, not summed). First finished modules rolled off at Cartersville ~April 2, 2024 (AJC); solar-cell production began June 9, 2026 (pv magazine USA), with full production expected Q3 2026.",https://georgia.org/press-release/qcells-more-double-production-georgia-create-2500-new-jobs,https://pv-magazine-usa.com/2026/06/09/qcells-begins-production-of-solar-cells-in-cartersville-georgia/,Resolved: human-verified and promoted from screen_extracted #4. Prior extraction flag: status_source (pv-magazine-usa) returned HTTP 403 to WebFetch; read via curl with a browser user agent. actual_first_out,,2023-01-15,2024-07-01,2024-04-15,"Georgia Department of Economic Development press release dated January 11, 2023 announcing Qcells' $2.5 billion Georgia solar expansion, including the new Cartersville facility",unconfirmed,"This week, Qcells began producing finished solar panels at its Cartersville plant ... The Atlanta Journal-Constitution was granted exclusive access inside the factory Tuesday to see the first modules roll off the assembly line (Tuesday, April 2, 2024; AJC published April 4, 2024)",https://www.ajc.com/news/business/qcells-begins-producing-solar-panels-at-new-georgia-plant-in-cartersville/LA2MDGKHRFEK3GHQRBQ7YAB26E/,US,1B-or-2000-jobs
5,2026-09-13T20:41:52Z,2026-09-13T20:41:52Z,5,"Formosa Plastics Sunshine Project (FG LA LLC), St. James Parish",Chemicals and Plastics,LA,2018-04,9400000000,1200,2025,pending,"NOT BUILT; major construction on hold, preconstruction permit extensions challenged in 2026 lawsuit; federal permits still outstanding",-1.0,-1.0,V1,"Announced as the ~$9.4B 'Sunshine Project' petrochemical/plastics complex (ethylene, propylene, ethylene glycol, polymers). Promise source describes a 10-year, two-phase build with construction as soon as 2019; 2021 was the projected first year for hiring permanent jobs. No verbatim first-output date stated in the cited sources. Earthjustice (Feb 2026) notes the complex remains unbuilt eight years after announcement.",https://www.opportunitylouisiana.gov/news/formosa-selects-st-james-parish-for-9-4-billion-louisiana-project,https://earthjustice.org/press/2026/groups-sue-over-formosa-plastics-permit-extensions,Resolved: human-verified and promoted from screen_extracted #5. Prior extraction flag: promised_first_output n/a: promise_source gives only a construction-start ('as soon as 2019') within a 10-year two-phase,,2018-04-15,2025-07-01,,"April 23, 2018","Pending the completion and approval of permits for the site, FG could begin construction as soon as 2019 in what projects to be a 10-year building and development process in two phases.","proposed for St. James Parish, Louisiana ... if constructed, would emit large quantities of hazardous air pollutants",,US,1B-or-2000-jobs
6,2026-09-13T20:43:19Z,2026-09-13T20:43:19Z,7,TSMC Fab 21 Phoenix,Semiconductors,AZ,2020-05,12000000000,1600,2024,2024 (second half),AT VOLUME (N4 high-volume production),4.4,0.3,V1,First fab (Fab 21 Phase 1) at high-volume N4 production since late 2024. Second/3nm fab accelerated toward 2027 (equipment install Q3 2026). $12B is the initial 2020 announcement figure; later Arizona expansion figures are re-announcements per rule 4 and not summed here.,https://pr.tsmc.com/english/news/2033,https://www.aztechcouncil.org/tsmc-moves-up-production-second-fab-html/,Resolved: human-verified and promoted from screen_extracted #7,,2020-05-15,2024-07-01,2024-10-01,"TSMC announced on May 15, 2020 its intention to build and operate an advanced semiconductor fab in the United States (Arizona)",Construction is planned to start in 2021 with production targeted to begin in 2024.,"TSMC's first Arizona fab entered high-volume production in late 2024, using N4 process technology with a yield comparable to its Taiwan fab.",,US,1B-or-2000-jobs
7,2026-09-13T20:46:11Z,2026-09-13T20:46:11Z,6,"SK Battery America Commerce, Georgia",Battery,GA,2018-11,1670000000,2000,n/a,2022 (first half),"OPERATING (downsized); 958 laid off Mar 2026, ~1,600 remain; pivoting to BESS after loss of Ford F-150 Lightning anchor",3.4,-3.0,V1,"Two-phase site; status source cites a later ~$2.6B total investment across both plants (a re-announcement, not the original $1.67B anchor). Anchor customer Ford F-150 Lightning cancelled Dec 2025 and the SK-Ford battery JV ended; ~1,600 workers remain after the Mar 7, 2026 layoff of 958 (~37% of staff). Groundbreaking held Mar 19, 2019.",https://georgia.org/press-release/korean-battery-manufacturer-create-more-2000-jobs-jackson-county,https://gasiantimes.com/business/2026/03/09/nearly-1000-jobs-cut-at-sk-batterys-georgia-plant-as-ev-market-headwinds-intensify/,Resolved: human-verified and promoted from screen_extracted #6. Prior extraction flag: promise_source georgia.org original URL resolves to a generic landing page; read via web.archive.org 2019 snapshot of th,https://www.constructionequipmentguide.com/sk-battery-breaks-ground-on-167b-plant-in-jackson-county/44467,2018-11-15,,2022-04-01,"ATLANTA - November 27, 2018 — Gov. Nathan Deal today announced that SK innovation ... is estimated to create more than 2,000 jobs and invest $1.67 billion in a new manufacturing plant in Jackson County",unconfirmed,SKBA started mass production in early 2022.,https://gov.georgia.gov/press-releases/2023-01-30/gov-kemp-sk-battery-america-exceeds-hiring-goal-track-reach-3000-workers,US,1B-or-2000-jobs
8,2026-09-13T20:55:50Z,2026-09-13T20:55:50Z,8,Chobani Rome Dairy Plant,Food and Beverage,NY,2025-04,1200000000,1000,n/a,pending,DELAYED; construction not substantially begun; Phase 1 slated spring 2027-summer 2028,-1.0,-1.0,V1,"Announced/groundbreaking April 22, 2025 at Griffiss Business & Technology Park, Rome, Oneida County, NY; 1.4M sq ft, up to 28 production lines. Announcement stated no production date. Per status_source (Aug 2026), Chobani shifted priorities to existing facilities and delayed the Rome build; Phase 1 will initially run 4-6 lines with ~300-450 workers. Employment estimate later raised toward ~1,800 once fully operational, up from the original >1,000. A separate $500M Twin Falls, Idaho expansion was announced the prior month.",https://www.prnewswire.com/news-releases/building-for-the-future-chobani-invests-1-2-billion-in-upstate-new-york-to-build-third-us-dairy-processing-plant-302434586.html https://agriculture.ny.gov/news/governor-hochul-announces-chobani-make-nations-largest-investment-ever-natural-food-production,https://www.foodprocessing.com/business-of-food-beverage/capital-spending/news/55397882/chobani-updates-construction-status-on-12-billion-rome-new-york-facility,Resolved: human-verified and promoted from screen_extracted #8. Prior extraction flag: Announcement gave no promised first-output date; the spring 2027-summer 2028 window is the delayed target from status_so,,2025-04-15,,,"Chobani broke ground today on a new, $1.2 billion, state-of-the-art plant in Rome, New York",Phase 1 now slated for a start date between spring 2027 and summer 2028,Phase 1 now slated for a start date between spring 2027 and summer 2028,,US,1B-or-2000-jobs
9,2026-09-13T20:56:53Z,2026-09-13T20:56:53Z,9,"Foxconn Wisconn Valley Science and Technology Park (Gen 10.5 LCD fab), Mount Pleasant",Semiconductors,WI,2017-07,10000000000,13000,2020,unconfirmed,"PROMISED LCD FAB NEVER BUILT; site pivoted to AI data-center infrastructure; ~$717M invested and 1,242 jobs through Dec 31, 2024",-4.0,-4.0,V1,"Re-announcement discipline: original July 2017 announcement was ~$10B / up to 13,000 jobs; Business Facilities later cited $10.7B. Dec 2025 status: newly announced $569M expansion, contract revised to ~2,616 jobs and ~$1.2B by 2029 (a re-announcement, not summed into promised_capital_usd).",https://www.wpr.org/economy/foxconn-build-10b-electronics-plant-wisconsin,https://www.constructiondive.com/news/foxconn-569m-expanding-mount-pleasant-wisconsin-open-ai-collaboration/806647/,Resolved: human-verified and promoted from screen_extracted #9. Prior extraction flag: promised_date_source (businessfacilities.com) 403'd WebFetch; read via curl browser UA (step 2). actual_first_output lef,https://businessfacilities.com/foxconn-mega-project-business-facilities-2017-deal-year/,2017-07-15,2020-07-01,,"By WPR Staff July 26, 2017 ... Taiwanese tech giant Foxconn plans to build a $10 billion plant to manufacture LCD screens in Wisconsin, the company announced Wednesday afternoon at a White House event.","But the planned facility would be operational by 2020 and cover 20 million square feet, large enough to hold 11 football fields.","opened in May 2021, but had remained idle since then, according to media reports.",,US,1B-or-2000-jobs
10,2026-09-13T21:01:15Z,2026-09-13T21:01:15Z,11,Intel Ohio One (Silicon Heartland) New Albany,Semiconductors,OH,2022-01,20000000000,3000,2025,pending,"DELAYED; under construction, first fab now targeted 2030-2031",-1.0,-1.0,V1,"Initial investment of more than $20B for two leading-edge fabs on a ~1,000-acre Licking County mega-site that can accommodate up to eight fabs. Originally targeted 2025 production; as of WOSU Aug 26 2026, construction is slower but steady, no manufacturing equipment ordered yet, first fab now expected by 2031.",https://www.intc.com/news-events/press-releases/detail/1521/intel-announces-next-us-site-with-landmark-investment-in,https://www.wosu.org/2026-08-26/slow-progress-continues-at-intels-new-albany-semiconductor-fab-still-set-to-open-by-2031,Resolved: human-verified and promoted from screen_extracted #11,,2022-01-15,2025-07-01,,"Jan 21, 2022 • 5:00 AM EST","Production is expected to come online in 2025, when the fab will deliver chips using the industry's most advanced transistor technologies.",The facility has not yet produced any chips; Intel is 'still on track to complete the first of two semiconductor fabricating plants by 2031.',,US,1B-or-2000-jobs
